19
828 1871
14 654 393
781 395 477
500 549 230
415 248 910
724 348 775
306 824 794
4 192 837
98 408 967
61 316 603
446 745 758
336 657 212
597 362 406
249 87 464
421 690 428
24 477 835
681 510 378
210 789 989
141 737 760
493 708 617
262 191 601
462 378 634
300 556 520
475 433 802
641 568 360
276 240 544
153 493 391
67 504 536
93 174 967
75 62 344
13 426 957
390 683 166
26 47 571
557 520 328
678 199 331
422 263 445
555 192 709
807 159 28
630 10 102
756 47 238
613 121 701
825 76 642
112 809 258
266 310 406
62 125 630
354 765 911
344 126 863
304 728 581
143 591 319
698 273 860
702 527 36
182 620 195
469 622 931
242 611 446
196 566 603
570 798 691
59 81 641
673 681 189
641 72 465
492 95 484
435 754 623
287 30 456
664 290 678
684 5 212
699 740 15
80 737 969
631 732 376
748 675 652
530 50 170
115 439 922
421 211 33
449 68 734
181 646 356
185 137 362
573 785 335
791 590 396
386 84 165
441 783 280
807 522 956
352 78 967
675 85 79
7 791 618
747 177 111
738 224 946
340 641 900
294 131 324
499 43 506
30 265 302
58 563 77
210 216 866
400 598 275
37 723 96
775 620 655
94 355 660
484 134 593
113 25 909
58 253 619
486 490 944
228 722 968
381 353 845
784 610 151
424 438 989
471 684 392
443 484 819
625 357 820
88 760 331
790 305 142
449 61 150
519 709 845
102 111 998
169 564 15
282 224 313
526 282 278
187 84 990
194 308 606
620 148 281
92 736 295
576 643 430
259 218 515
113 339 994
39 492 12
74 59 519
197 612 986
576 221 515
486 511 695
551 791 591
305 234 868
243 554 563
380 713 7
769 804 138
510 607 510
253 604 238
307 538 713
234 23 2
255 697 423
442 607 379
521 796 390
705 93 810
541 348 214
521 614 451
36 170 777
654 455 969
479 261 437
607 615 665
20 719 177
659 688 574
735 380 308
604 252 934
580 561 494
5 663 944
408 350 653
512 498 26
718 548 628
745 792 334
15 230 286
219 144 869
109 156 289
289 503 452
227 72 85
748 132 932
804 25 233
425 804 215
733 387 662
322 11 368
212 203 247
110 255 163
15 288 237
252 480 811
21 177 258
449 50 861
553 796 452
725 798 407
673 95 536
324 196 95
15 301 992
214 641 639
711 270 35
548 615 159
771 467 357
277 735 300
363 519 362
641 620 538
254 743 630
340 15 980
656 620 752
715 63 421
547 301 39
531 624 451
1 152 920
642 660 385
226 720 201
350 86 541
353 749 104
696 2 609
639 725 49
189 673 418
417 172 59
663 765 923
175 61 476
616 31 215
432 430 779
20 187 733
111 673 216
107 465 681
496 19 918
289 562 804
807 218 809
420 155 887
20 124 677
65 761 447
105 823 742
369 807 111
425 346 330
795 634 410
572 118 166
473 76 637
571 666 723
603 418 741
253 372 103
383 352 992
395 737 148
621 173 523
484 398 133
212 660 732
612 342 512
186 634 579
75 253 780
546 479 187
189 45 419
828 688 459
700 61 134
568 430 416
102 199 462
566 782 778
303 474 764
41 74 121
558 265 215
536 88 213
50 311 253
790 136 237
669 294 343
242 172 71
81 492 82
760 736 990
632 370 151
272 824 418
812 717 900
197 632 862
539 184 906
513 148 485
806 432 795
587 598 780
284 608 334
103 532 167
522 85 699
766 612 306
288 774 440
93 750 553
553 360 58
50 524 486
287 97 271
426 697 172
612 658 208
662 73 942
698 745 564
313 212 909
538 248 701
589 688 587
158 323 347
726 739 418
496 338 207
796 372 910
310 446 575
638 602 473
813 232 960
217 746 780
437 434 614
754 277 568
339 616 742
220 552 415
796 328 880
85 578 807
536 150 467
202 84 21
702 497 9
476 664 497
801 483 286
159 414 317
212 76 779
424 356 912
392 460 800
711 485 89
635 189 128
270 821 2
114 266 568
70 826 699
661 804 417
414 430 641
530 169 958
269 284 724
446 461 90
72 127 732
49 286 915
705 294 176
269 796 909
467 598 500
66 712 561
256 700 347
170 742 573
442 770 902
410 606 157
288 775 929
344 33 258
754 547 496
139 43 185
36 298 258
283 747 556
31 628 553
76 707 528
436 753 844
704 495 192
652 360 963
341 760 633
283 488 657
763 585 599
677 456 389
124 794 617
724 62 224
395 254 683
205 73 846
455 761 172
431 35 195
229 513 222
532 436 821
749 796 874
50 30 690
659 295 542
100 291 310
193 492 985
443 317 847
668 504 191
321 31 848
712 517 357
441 497 162
134 183 742
118 649 100
706 295 565
366 57 337
407 152 644
711 658 923
778 524 195
431 129 619
678 527 863
323 501 483
49 60 136
169 149 983
102 655 649
522 551 891
3 475 535
671 740 732
75 565 157
532 101 466
370 70 900
98 61 719
751 461 645
330 283 953
307 450 760
378 4 457
89 244 673
738 588 555
534 63 886
422 761 269
470 233 324
160 641 817
173 493 217
821 803 38
379 827 637
360 469 420
428 307 210
472 632 856
397 128 952
215 486 808
485 567 664
137 205 945
354 562 170
283 234 938
365 522 875
715 405 100
677 635 511
421 388 505
123 220 68
90 545 179
553 826 473
398 147 646
485 521 600
797 739 389
287 411 353
728 39 780
216 476 867
746 195 269
743 13 155
453 718 706
819 450 275
801 826 920
800 651 349
105 256 950
601 341 272
445 256 407
68 432 499
344 58 29
74 625 419
104 749 804
6 630 437
137 140 472
66 432 832
628 542 527
762 161 60
6 273 571
764 109 77
233 282 287
431 408 541
654 231 148
315 343 525
48 644 284
771 433 842
369 794 333
308 415 904
112 552 114
733 713 543
200 798 188
551 412 264
484 615 854
605 254 44
302 128 416
370 66 835
507 810 851
405 279 816
72 308 910
619 401 636
590 111 108
40 505 739
693 752 692
301 59 527
67 743 771
360 455 795
152 723 946
358 83 831
319 765 781
331 217 606
123 609 19
797 707 64
600 643 731
827 78 920
246 563 92
217 352 555
105 562 121
90 344 180
787 272 113
764 364 796
439 57 472
36 790 376
818 692 473
638 87 817
485 251 721
642 561 105
530 788 392
6 232 108
586 210 275
287 268 223
411 35 383
641 774 919
20 213 905
658 448 839
679 735 937
146 437 679
280 390 12
87 292 872
686 508 618
691 112 629
205 731 127
281 797 142
67 214 940
38 59 271
187 62 482
692 315 748
204 105 213
106 105 582
73 694 710
379 344 87
229 582 495
1 728 534
46 137 842
26 350 882
403 195 573
325 783 406
763 265 239
51 100 629
62 312 333
408 354 595
354 443 391
721 192 380
223 794 438
606 505 55
461 356 419
428 178 78
485 355 9
517 643 568
460 362 432
173 74 102
49 640 979
425 125 213
300 444 907
611 174 135
257 647 827
127 197 811
503 515 63
56 299 522
430 488 58
58 766 984
770 581 200
689 749 780
779 553 351
173 366 650
167 511 702
819 238 490
247 237 561
47 392 912
157 691 916
361 670 113
285 646 721
704 380 642
303 621 280
656 787 593
443 292 290
35 316 781
529 125 934
331 817 762
687 399 221
572 492 532
449 813 905
624 314 208
800 215 40
637 85 805
791 469 829
631 203 536
285 463 911
632 362 855
766 792 37
526 262 317
57 64 198
628 278 824
617 231 292
173 718 594
330 383 5
458 126 590
673 103 587
361 640 952
809 438 939
182 104 711
130 618 887
359 155 507
569 25 349
395 437 148
729 777 68
732 664 488
368 720 846
435 802 469
83 581 230
289 379 563
647 384 605
637 612 961
699 469 654
483 637 231
84 595 743
186 248 939
244 757 500
771 205 128
227 496 78
475 342 188
407 604 233
445 619 243
611 764 299
390 785 829
406 803 422
136 608 22
8 432 988
155 8 845
320 53 49
413 797 806
810 69 540
308 490 840
422 815 574
335 356 989
325 116 499
673 200 669
617 824 583
14 571 205
456 760 449
572 77 408
417 817 607
368 379 799
81 444 868
107 660 26
422 775 860
749 7 598
776 562 377
617 651 906
715 542 831
290 39 463
196 577 97
391 383 915
782 652 154
793 654 546
53 449 164
9 508 595
604 275 778
310 14 303
170 112 511
440 674 905
342 614 66
599 133 9
655 403 498
206 768 233
296 401 128
501 30 325
464 761 153
459 188 758
124 584 227
81 781 290
618 239 722
479 181 952
449 269 968
63 456 999
476 755 684
621 205 87
444 466 479
480 116 524
789 416 339
524 472 591
486 666 972
705 393 690
778 484 218
368 799 551
199 148 921
12 787 522
729 732 407
186 32 997
692 494 285
717 134 812
554 412 211
593 568 915
205 494 432
664 83 28
409 467 796
779 496 528
417 392 164
18 508 126
370 314 21
567 278 894
64 275 90
181 564 604
598 338 155
67 264 645
345 234 99
322 94 673
474 757 910
666 223 320
271 689 661
594 66 151
166 193 993
544 704 21
357 126 959
188 651 434
386 387 770
403 583 944
99 247 919
181 704 250
400 761 129
719 457 804
789 691 401
327 137 170
287 170 185
448 282 580
169 110 778
12 649 806
647 270 357
52 69 424
421 663 428
787 234 457
328 19 637
401 6 472
381 545 570
768 799 682
52 205 401
195 675 59
264 104 632
760 528 818
263 220 162
138 397 911
208 486 113
593 643 724
385 391 378
150 153 388
353 801 525
389 588 858
289 785 878
757 40 498
137 663 413
317 80 498
635 471 693
176 9 628
397 812 242
511 723 715
615 70 400
800 388 426
684 214 614
546 818 720
199 433 545
315 175 117
110 328 311
525 55 402
68 63 526
493 465 858
711 466 218
391 801 319
217 296 531
294 556 995
146 196 473
788 510 439
746 421 823
743 239 41
702 559 296
246 803 881
785 383 851
551 612 969
601 426 736
176 253 380
337 742 346
825 55 824
397 630 138
689 37 845
146 359 991
820 26 597
486 382 46
367 584 665
545 503 24
244 169 566
756 338 164
791 14 362
125 74 850
286 773 671
347 364 549
390 504 725
266 389 172
571 171 994
601 227 334
519 817 249
157 222 441
576 316 388
285 477 575
747 803 504
729 268 86
797 370 762
740 253 821
31 648 375
122 249 281
509 453 700
665 539 72
823 514 867
445 664 740
731 404 128
95 546 592
190 693 127
627 34 979
265 57 897
225 230 595
29 496 835
241 686 432
85 395 234
147 546 467
242 823 44
149 100 949
176 156 230
519 540 476
81 792 264
499 606 305
228 570 276
64 181 12
761 741 425
205 405 691
322 723 814
436 224 902
583 451 14
198 222 329
781 263 502
546 254 964
504 209 937
107 430 200
803 249 758
120 231 14
385 489 958
303 34 454
710 324 494
115 526 289
667 454 851
792 419 553
626 738 997
26 13 376
148 692 262
51 229 995
62 637 890
684 115 140
532 270 720
98 137 650
736 802 397
736 96 167
475 815 457
397 728 265
192 331 933
288 440 369
99 582 416
767 780 299
131 465 628
332 803 455
239 513 516
364 300 148
260 656 975
311 791 184
577 227 524
249 8 808
600 737 305
485 154 790
11 134 524
79 175 694
594 622 72
318 151 766
215 699 859
446 666 283
318 818 734
292 37 608
794 13 537
363 304 18
668 721 3
72 629 64
442 531 419
769 494 537
149 48 637
494 29 999
438 682 184
566 321 592
393 665 850
419 22 564
508 288 107
808 506 684
82 659 159
56 551 495
745 503 340
168 535 762
700 83 468
632 780 224
289 813 53
587 53 428
738 248 982
491 594 879
96 24 247
669 174 125
777 292 940
322 430 745
286 513 673
276 701 448
102 345 420
717 663 291
382 211 242
219 561 736
323 482 558
775 713 11
580 790 674
299 352 323
320 657 484
454 309 797
119 567 406
55 657 662
654 22 938
623 211 517
439 377 450
526 803 901
624 161 529
283 683 21
814 660 726
64 733 366
121 355 639
191 89 759
748 78 322
446 152 419
448 678 943
564 418 258
57 791 649
319 561 910
131 395 441
327 49 101
228 704 576
162 46 376
358 214 735
464 566 641
697 149 984
822 57 310
718 364 612
9 821 965
453 589 801
581 320 683
620 566 674
321 602 238
732 647 742
551 561 250
669 219 763
319 474 17
683 228 10
447 786 712
663 742 342
522 776 676
518 26 1
154 490 222
222 435 922
493 86 288
566 769 49
149 669 974
300 415 460
469 353 96
136 227 202
102 618 224
661 732 839
525 357 519
132 174 72
166 507 54
511 202 165
590 682 981
287 713 295
64 275 784
57 557 358
35 768 498
457 364 494
732 426 838
465 459 915
292 18 174
825 651 363
400 549 735
497 621 829
369 645 752
40 559 692
406 231 611
74 559 454
123 75 596
193 402 752
482 485 149
414 763 62
167 308 588
497 817 914
578 817 937
195 71 969
51 301 760
24 264 979
276 246 388
55 218 56
613 590 326
136 485 624
406 469 951
485 792 89
261 400 872
780 294 922
39 225 505
17 233 225
679 128 162
220 168 790
728 555 870
779 473 836
245 237 672
137 121 265
674 388 181
118 34 820
190 632 477
383 384 202
308 421 49
250 464 490
208 155 308
746 607 748
477 781 911
622 192 541
629 721 247
478 220 596
155 255 153
98 554 75
212 59 759
407 285 110
642 805 620
13 3 166
88 486 433
91 679 486
209 822 270
752 450 640
350 638 91
819 248 290
778 794 835
214 195 535
623 666 872
327 501 327
426 568 803
333 154 229
447 26 982
475 700 704
785 790 281
685 553 228
385 172 309
512 258 751
96 489 491
435 678 567
677 474 769
21 327 173
124 457 769
240 129 875
461 739 865
716 518 383
430 675 20
89 124 693
482 248 517
209 354 429
420 755 942
566 354 458
624 709 56
134 307 45
167 452 964
252 550 451
368 546 822
634 726 201
387 194 392
642 231 215
97 788 456
127 742 52
317 77 213
184 316 624
725 611 225
406 333 863
372 721 856
737 352 482
392 426 38
504 241 862
557 182 788
648 592 789
541 275 262
369 222 838
690 608 548
807 9 283
12 708 545
770 710 252
855 1604
572 793 294
217 339 984
116 831 880
766 506 58
292 775 423
813 235 592
250 814 86
297 120 508
439 767 995
213 105 30
662 274 719
211 222 715
140 225 276
799 606 451
469 6 654
814 310 470
181 226 558
165 683 641
185 752 416
371 243 624
274 308 345
12 697 499
192 488 337
269 365 532
146 524 456
554 264 333
441 191 458
108 348 247
96 17 174
103 169 520
632 422 242
841 799 339
36 818 938
323 321 274
703 624 973
257 846 645
571 385 396
844 221 703
702 239 117
3 96 731
63 283 92
233 120 196
644 322 464
743 585 655
577 386 859
460 52 415
729 816 478
511 266 252
488 273 185
281 781 257
29 457 606
370 510 785
700 510 318
501 827 230
441 130 643
476 172 72
612 495 319
843 121 899
834 498 410
638 271 516
421 140 515
76 393 965
115 617 792
407 521 163
807 201 416
115 501 889
376 349 568
143 161 872
499 613 730
830 31 428
290 60 240
804 402 42
776 513 22
781 199 323
825 731 368
592 661 659
604 69 548
269 757 22
115 274 527
590 821 756
612 630 255
775 689 611
626 404 583
342 726 744
257 634 630
262 223 944
484 82 681
628 109 370
62 287 321
553 318 492
304 474 431
325 372 488
211 576 171
247 773 320
845 65 103
334 66 814
273 584 378
206 233 847
784 110 503
576 272 599
303 651 254
521 675 297
72 2 890
227 751 186
285 9 831
24 128 938
611 196 390
491 500 539
454 527 186
277 853 628
171 153 831
677 478 685
782 617 982
90 373 842
169 680 408
408 219 650
754 358 688
555 348 497
623 816 688
170 63 966
764 349 124
269 690 426
813 781 712
203 421 779
529 592 20
759 535 44
209 153 482
328 297 745
828 800 343
236 744 459
201 309 408
744 584 149
474 476 254
434 325 79
488 694 862
423 713 193
10 121 711
245 436 906
400 330 172
25 612 484
327 71 515
576 544 707
792 110 228
537 500 440
582 820 510
30 457 240
380 279 849
658 88 646
423 704 131
96 691 375
115 65 753
242 447 908
270 269 82
415 848 919
159 241 773
815 322 670
59 845 506
788 700 192
131 81 988
632 646 704
222 524 1
783 347 293
750 600 356
682 29 895
116 694 39
450 225 814
50 790 831
477 209 987
600 289 610
341 227 569
512 388 859
822 555 218
422 95 738
544 183 508
26 810 850
120 230 260
366 320 592
422 444 702
417 13 534
810 611 681
8 375 834
533 622 993
480 388 477
264 178 295
460 29 660
102 74 863
739 187 621
245 73 65
184 678 172
462 775 431
522 592 329
101 719 375
843 214 979
680 366 48
259 125 140
402 649 992
6 801 663
406 237 980
361 743 857
99 692 327
550 528 404
786 59 870
600 502 677
525 587 116
816 314 539
686 774 939
495 227 1000
112 740 960
160 557 758
250 593 991
292 688 620
584 155 769
203 457 177
748 128 919
268 624 149
244 749 160
693 394 887
113 383 981
31 693 930
623 190 721
579 382 414
77 55 434
579 325 447
24 722 825
762 708 691
373 252 383
489 581 852
654 617 824
559 769 394
479 577 352
303 233 810
26 33 896
387 248 600
796 327 980
601 624 999
316 561 813
759 801 261
751 200 217
187 73 146
375 487 173
488 785 210
764 20 29
449 294 504
653 713 960
499 563 782
204 854 479
222 338 795
168 32 152
833 267 666
378 4 777
760 259 532
522 743 295
555 232 734
213 285 965
550 609 572
214 653 539
391 599 119
38 379 561
213 39 703
55 114 340
468 582 665
546 564 269
667 739 65
277 530 514
504 679 235
466 793 369
546 852 124
511 654 425
489 500 222
548 649 994
682 58 326
147 639 874
513 616 493
845 6 552
816 634 88
507 335 826
578 629 76
589 767 498
233 352 278
709 180 839
508 123 942
161 263 625
291 120 160
679 837 584
294 90 844
707 585 213
806 333 876
323 37 37
274 50 623
309 307 143
294 736 193
653 816 823
789 471 707
655 607 506
321 37 956
640 849 7
670 160 220
671 525 854
362 144 700
481 620 476
449 192 9
169 401 711
73 43 846
547 821 559
410 154 842
296 844 319
268 97 643
530 376 512
454 37 625
127 524 218
784 308 475
428 598 924
50 380 770
90 554 500
513 193 401
280 67 208
161 468 126
209 212 872
742 313 471
773 686 514
699 721 840
161 324 120
772 438 777
574 536 204
43 850 947
611 553 623
826 705 737
512 635 990
703 111 70
47 73 592
12 478 118
738 528 648
808 343 197
73 759 366
286 40 56
279 301 464
656 565 813
694 358 622
824 608 505
327 65 578
611 596 362
612 724 791
671 330 290
408 448 536
808 825 324
352 631 516
697 39 760
197 580 283
817 571 625
238 775 513
446 301 671
342 122 804
13 102 602
133 750 271
740 386 303
148 627 952
172 315 698
722 437 598
381 72 672
105 189 432
403 458 392
114 214 535
822 621 673
738 855 483
406 266 767
284 184 612
666 90 981
421 353 934
279 318 147
141 525 424
177 142 531
415 648 792
820 661 171
767 364 625
593 478 430
833 64 33
648 433 721
174 278 126
768 22 680
374 287 532
674 266 223
445 569 252
7 493 5
534 776 220
595 26 878
483 474 1000
693 251 279
347 249 676
786 603 767
333 754 510
84 201 994
761 713 757
239 246 907
607 788 739
725 281 723
492 749 31
456 547 335
495 123 291
202 562 331
787 472 807
303 69 388
544 252 655
695 290 911
29 62 872
662 705 37
228 149 743
503 276 550
506 598 989
629 748 483
409 488 271
314 361 630
426 627 240
484 561 382
258 169 206
237 61 606
321 278 757
21 222 758
268 660 435
55 294 129
641 527 932
762 340 686
386 803 257
74 692 872
455 489 374
152 700 774
629 22 19
322 51 99
424 767 632
249 74 229
726 259 727
123 739 586
54 686 231
610 435 405
160 777 298
806 163 830
816 220 221
13 477 716
753 101 449
213 815 403
259 466 389
193 243 169
790 28 782
243 347 87
151 388 13
332 509 220
127 82 684
526 446 527
153 805 839
17 367 803
173 449 981
321 660 257
576 219 31
335 632 732
734 483 525
305 835 169
360 595 161
709 335 411
376 18 558
