17
922 841
674 6 -508
711 623 -391
169 173 272
95 73 137
132 151 -928
581 906 444
80 61 -77
906 58 97
806 122 986
753 368 374
59 67 272
463 621 132
470 511 -843
532 674 -459
511 907 -769
404 62 -616
561 131 883
762 314 -279
874 217 -135
119 828 -994
690 349 62
895 238 155
800 286 452
668 519 557
745 742 -776
448 65 946
698 343 126
800 732 -581
21 458 634
285 215 698
33 663 159
102 298 916
456 115 648
341 909 -544
440 122 345
190 680 -260
571 742 829
864 47 -601
299 589 -900
382 259 -458
369 661 -912
886 794 923
179 193 308
549 361 -545
864 710 -876
660 793 -830
433 564 -645
157 578 815
612 288 -664
571 305 -678
633 53 785
2 430 502
120 879 654
506 631 -280
677 462 990
624 381 537
756 154 896
125 434 528
744 424 218
214 330 -965
106 634 -542
64 728 -753
502 676 -421
610 608 977
354 678 -621
754 851 -633
257 156 -844
699 864 -62
70 218 -497
719 206 -908
801 748 -845
500 89 959
195 338 -964
123 377 770
316 21 -420
185 508 -254
652 122 -970
713 170 -999
262 448 342
369 432 -660
105 717 -394
535 265 -646
54 86 -245
370 43 448
73 314 708
646 697 906
890 299 -194
800 239 520
680 231 819
681 322 -541
301 111 761
861 313 -216
115 306 -103
665 643 -131
519 613 -114
137 37 -462
443 435 135
373 370 321
403 168 281
400 870 427
704 260 -246
936 953
398 361 -99
668 728 -977
169 197 -730
933 506 721
31 124 -299
239 594 -49
152 652 987
839 547 698
889 666 716
125 823 -638
847 211 -840
440 649 -468
592 180 809
82 280 -315
606 279 906
741 690 -712
112 92 233
246 240 -11
370 546 61
686 213 -309
429 873 -265
304 616 -970
98 823 -673
795 171 -833
909 14 334
140 848 436
699 293 -890
885 278 -40
434 934 596
327 137 -902
31 396 -266
928 221 168
662 424 -440
886 669 -208
459 816 -207
322 366 -497
587 718 353
775 706 778
387 354 -1
117 257 116
840 266 291
395 816 -967
150 398 -889
602 573 607
384 513 -95
33 24 391
789 640 -359
506 776 304
756 398 771
469 506 -628
765 371 837
860 365 -508
590 129 -360
427 168 -665
326 714 -473
812 99 -724
87 911 -913
933 689 -256
703 230 -101
128 453 -314
436 687 -1
490 665 -535
394 762 -962
216 259 938
414 280 292
396 759 957
748 648 -810
695 54 147
510 195 -432
12 923 -399
34 494 -294
671 508 -300
387 905 964
829 712 65
782 393 235
68 431 -734
933 305 -278
634 429 -393
367 392 455
623 754 -186
597 339 468
460 253 382
615 544 176
776 748 600
151 352 -42
624 490 -928
100 42 -295
258 312 -754
451 378 216
731 321 935
155 462 -280
192 505 85
767 295 -211
115 246 357
197 846 -295
101 815 977
353 846 112
729 121 -878
151 741 -354
894 399 -948
74 618 -110
274 236 -753
424 282 -974
279 926 -696
696 593 -319
142 670 612
395 870 19
431 205 -573
193 636 -592
470 793 256
418 721 23
636 122 -619
190 275 942
500 125 637
557 95 -532
625 95 446
891 718 -471
569 649 -7
32 449 -957
787 166 33
473 778 228
654 560 -462
825 170 210
792 303 319
806 240 415
197 588 129
777 578 290
202 395 -181
308 285 -970
72 128 -125
86 527 -200
122 237 67
510 297 -752
595 725 427
137 165 -557
162 44 316
117 459 -321
569 658 -837
251 42 827
674 842 -483
829 361 365
808 62 65
440 155 -172
711 622 182
720 579 801
384 453 805
121 386 805
21 495 77
921 480 195
588 513 819
404 744 -83
266 277 -618
190 739 -654
554 129 -216
589 18 217
98 674 698
672 430 109
691 301 -204
205 522 793
38 57 949
884 97 -625
408 422 388
118 791 -589
561 281 -619
684 288 -277
611 756 -166
222 248 -904
651 251 741
885 775 36
2 234 1
764 43 998
695 137 301
899 330 223
540 41 -436
110 301 -924
268 816 -979
127 467 -399
866 76 -916
135 158 -82
907 315 -830
269 14 -754
742 498 -516
436 395 -612
602 137 -825
379 308 -429
745 376 -444
463 134 590
176 58 306
277 611 -87
243 326 327
221 100 972
162 565 7
75 350 690
483 81 -958
889 656 368
288 362 977
220 224 469
110 301 -47
718 142 656
209 821 111
88 773 595
474 102 561
270 877 477
556 770 -105
872 13 -280
461 320 789
360 538 395
601 366 380
684 729 259
132 752 701
780 232 -570
662 804 -767
383 578 710
381 510 10
144 431 -962
896 572 -916
548 752 405
421 326 404
583 357 953
522 501 862
774 558 128
920 371 632
720 359 -826
72 280 -31
616 302 -960
542 626 -405
714 427 520
687 150 834
309 676 145
384 717 -230
840 333 873
627 527 -351
770 210 -502
522 529 889
291 230 100
589 100 691
549 586 -981
422 373 -128
439 291 177
52 198 -711
462 507 510
439 588 947
459 193 124
117 778 878
184 717 -570
253 515 -549
622 683 -881
697 304 871
185 930 -861
460 757 -995
933 924 -776
180 200 260
42 213 -852
214 448 -468
766 202 470
201 517 435
551 716 -540
920 31 -793
578 46 267
80 905 -945
352 524 -647
390 881 -700
335 38 450
169 249 -554
594 122 -363
437 116 -65
18 346 -296
512 93 61
548 757 490
257 381 -227
304 586 761
279 30 979
463 554 -278
434 344 -392
203 93 -137
41 589 -40
129 56 652
744 69 161
312 764 442
413 205 341
788 688 390
548 232 657
368 490 813
849 139 805
629 109 8
265 711 309
339 295 568
344 315 96
350 490 295
739 130 -852
382 331 877
432 246 -799
659 259 880
526 500 957
583 501 741
108 846 506
697 226 -307
114 264 -240
37 540 -936
376 136 39
217 644 -751
429 833 -717
867 124 649
122 181 302
670 622 166
757 868 662
427 892 320
716 690 513
617 508 -627
339 160 -486
792 39 957
122 701 513
114 588 -919
291 379 928
903 327 -228
369 120 -738
562 89 -587
347 613 -767
29 117 73
16 104 -393
784 927 -686
681 635 -70
921 171 -841
590 922 930
557 793 681
79 514 645
845 701 -160
223 27 -773
746 178 973
618 737 -141
430 890 -437
770 869 459
16 282 871
423 677 -310
934 55 -345
221 49 396
700 338 99
484 820 -397
680 207 -625
849 9 -889
855 693 -678
28 99 -886
918 483 218
507 675 -930
935 895 -636
200 783 -147
494 146 -87
52 569 -932
450 282 696
791 640 814
250 820 -597
318 327 68
291 23 610
879 911 453
131 783 -249
493 881 539
155 264 -691
398 465 -618
580 527 -684
615 165 -245
451 613 -352
234 215 719
266 414 -582
916 585 -296
279 903 -103
849 253 423
736 676 712
483 111 -432
347 832 -749
387 439 982
546 219 -608
786 244 -391
28 6 718
625 195 -766
877 804 -245
904 202 -364
682 350 419
333 680 947
72 771 592
829 77 993
340 932 392
130 892 927
890 769 35
866 101 -573
648 903 -548
282 26 785
922 758 -681
562 60 -912
912 102 616
737 866 811
638 161 292
415 424 551
626 284 -440
895 347 -499
720 736 638
380 360 -535
805 757 25
401 33 182
604 605 886
88 230 600
516 435 -974
848 668 -962
359 526 -437
70 239 388
581 477 270
779 194 -711
931 354 808
821 242 -676
707 396 522
297 915 374
200 645 -300
614 223 -180
819 832 -907
368 152 -34
333 477 188
232 507 862
681 767 -549
742 690 -359
387 252 -576
254 156 622
210 37 544
205 145 965
579 615 -157
160 307 -969
855 924 -917
745 452 -316
108 871 -333
18 396 894
503 692 925
119 650 -934
400 882 666
898 752 -164
430 124 -229
447 284 168
208 57 -460
303 929 -700
627 644 849
330 713 726
573 731 -968
76 68 -742
507 2 408
772 904 539
641 373 -146
230 587 -38
135 889 290
884 470 -87
882 752 766
50 56 -733
537 427 876
357 638 42
226 576 925
579 565 -700
435 481 -182
780 487 953
598 220 413
413 537 302
715 232 62
847 208 392
509 198 -831
283 245 -643
95 433 251
726 410 556
201 601 687
526 243 -631
128 360 -232
161 75 -123
688 808 -546
258 198 591
195 494 929
742 153 -716
282 855 -236
275 526 853
581 106 -932
62 422 -348
578 333 -5
927 722 871
280 837 -53
250 493 190
254 491 307
14 618 448
746 21 -465
275 42 -146
475 789 827
259 751 426
830 429 13
891 4 685
383 499 -346
902 209 -20
149 13 349
422 904 897
644 362 356
60 562 -435
772 399 196
754 795 114
676 389 769
174 678 508
688 282 332
536 739 857
477 208 236
177 209 -98
126 75 -394
367 205 962
777 225 539
560 775 -728
383 406 -979
154 65 -877
848 638 -601
39 46 651
488 545 247
517 491 759
173 448 -771
46 825 -596
331 400 -929
489 112 14
179 617 -748
76 550 723
234 899 704
657 926 -615
832 922 -205
174 655 -117
84 447 -60
60 1 824
700 202 788
790 267 712
936 507 -971
797 29 -11
678 152 314
202 279 -448
93 359 770
682 336 470
644 610 218
281 672 982
751 744 -491
766 648 364
265 103 -560
685 295 973
578 126 647
518 583 -797
8 834 -530
74 700 50
339 199 524
351 649 414
639 415 648
527 241 170
219 125 275
496 465 444
855 469 -491
284 854 755
57 748 -326
913 337 746
303 448 74
295 807 -437
266 881 -730
419 401 -928
104 505 -851
623 878 -135
662 122 -690
362 418 871
370 402 800
647 693 -155
520 818 753
809 688 549
201 744 -284
380 277 221
630 471 29
6 681 104
243 830 896
164 932 -89
654 419 411
647 492 70
892 223 150
708 534 51
836 869 441
831 327 209
248 267 582
754 119 -997
578 82 -399
907 391 677
577 98 -523
514 118 366
219 31 -330
451 892 -362
549 615 912
101 384 829
855 310 -415
909 385 -474
415 493 -280
539 553 70
285 223 -430
731 714 -458
369 790 -267
299 43 193
835 42 -817
334 18 323
762 554 -655
688 489 385
407 616 828
100 803 -746
689 745 863
619 94 -905
835 663 -732
676 782 -385
671 606 917
403 333 -320
65 190 -700
914 218 -684
267 524 865
340 682 946
734 286 -643
145 219 -942
591 549 -947
735 665 -949
542 911 907
806 487 592
203 417 -309
775 520 102
88 7 556
715 364 -907
517 892 -142
38 430 160
647 77 489
698 246 -110
184 827 945
25 459 581
699 636 158
561 447 -355
565 510 892
784 906 146
44 374 -45
241 857 268
609 636 -727
782 103 18
495 902 953
259 66 -918
253 733 -382
923 32 -714
766 246 674
289 726 -173
110 162 -574
423 472 -262
590 868 464
890 434 -833
708 354 759
697 242 -127
540 808 618
918 684 911
860 29 -491
789 132 -162
709 511 392
428 230 -334
630 53 103
658 231 349
365 293 222
531 301 -866
644 626 41
611 336 -664
808 696 -200
418 805 636
294 662 -958
520 467 917
649 640 -956
509 301 7
111 818 -227
767 752 -322
751 323 757
35 886 -799
485 95 395
788 533 -232
41 295 -891
717 502 857
824 905 851
543 884 261
823 109 -234
907 4 -740
609 51 488
371 211 319
360 344 -286
476 710 -473
47 390 -312
401 685 653
30 491 645
40 397 -344
158 255 425
919 155 -295
23 753 98
841 251 759
399 664 -336
175 791 720
280 691 867
121 613 915
113 837 240
885 271 771
884 393 -105
714 495 -616
338 773 127
209 318 55
362 617 -216
30 477 232
496 541 -868
311 45 -420
516 721 -495
480 275 -143
667 686 -767
407 42 983
458 883 475
100 833 377
51 366 810
282 166 -390
614 598 610
435 198 337
574 608 -76
738 772 -582
679 682 32
300 810 -102
914 856 661
267 460 -512
703 151 -789
504 254 813
655 168 -853
221 814 915
926 789 -228
46 236 -997
151 448 833
607 453 -17
4 221 -313
738 605 860
12 751 664
460 713 12
132 17 683
780 517 101
428 641 407
678 492 55
130 79 -201
724 837 -971
808 804 543
709 450 663
482 74 313
148 549 814
520 925 883
15 764 174
323 279 333
900 159 -127
89 407 879
258 867 -954
890 757 916
296 762 957
744 805 151
18 9 -564
879 809 816
835 409 181
132 826 831
521 732 -466
219 758 -48
602 52 -396
685 785 -508
930 267 805
894 120 646
689 905 -655
594 241 876
873 658 -400
469 160 -886
633 305 242
32 933 -652
301 551 -1
928 865 -783
163 490 635
687 464 44
887 423 -451
363 926 493
226 830 -440
439 707 -429
484 37 -667
100 695 -93
847 211 -18
801 251 -615
409 878 -312
7 269 -909
364 487 635
252 569 -901
634 395 -438
421 565 35
688 53 -324
18 344 -558
16 631 432
732 379 2
621 53 -656
513 646 753
479 934 -868
832 310 -651
437 229 746
105 97 -989
352 910 172
406 336 -71
664 251 -91
420 786 523
160 348 -974
902 717 -615
794 664 320
72 375 370
561 520 1
342 643 394
106 667 -170
463 716 -433
577 52 943
237 571 -388
197 229 -971
179 378 -927
756 863 -109
622 202 681
13 398 108
868 718 -886
106 231 214
405 142 71
316 554 -701
271 505 -657
238 541 885
781 125 966
109 49 -255
333 699 928
32 795 -125
523 260 148
128 378 220
575 457 544
808 119 -620
344 390 -368
873 373 459
82 529 -750
59 154 -508
314 863 -324
774 129 -15
747 113 293
925 285 -266
593 795 894
78 341 204
173 886 953
664 249 241
211 19 550
257 216 764
478 542 823
50 65 696
403 451 732
35 666 -514
598 779 477
401 8 972
918 53 -120
267 111 504
145 367 -489
585 356 182
783 240 -597
294 860 -71
790 609 83
397 127 373
629 115 581
406 177 -894
651 213 -65
869 361 -848
920 768 381
33 906 -354
208 13 144
364 401 879
436 575 -60
895 869 -172
812 513 583
627 718 14
419 610 -900
123 150 539
797 662 850
404 529 629
417 76 -832
95 190 766
102 25 288
349 664 -948
136 393 351
681 850 131
563 792 752
536 588 -224
165 320 -672
211 156 561
935 726 -17
649 160 -944
764 234 794
414 186 948
621 28 -733
49 233 577
207 189 -185
885 128 248
63 128 -575
462 582 171
505 879 176
595 838 509
537 546 -105
86 87 -871
855 168 -260
368 506 7
305 879 -129
645 669 514
449 124 -372
116 563 -791
370 907 -199
198 916 -938
608 426 -63
51 322 -377
654 84 -378
702 538 365
779 564 707
267 776 -549
564 757 -750
237 93 -648
784 434 -818
621 663 530
701 856 -38
592 680 -340
31 336 414
689 233 -288
402 27 396
823 235 -397
600 40 944
202 426 -522
391 233 975
318 876 -485
530 583 652
315 232 -692
40 668 890
179 686 480
563 618 -638
818 15 431
236 228 897
710 751 636
50 508 922
406 88 -413
836 767 771
435 292 563
305 736 -673
877 156 -770
108 570 -10
562 73 988
923 621 -94
541 177 709
357 368 521
619 79 -427
813 567 -77
154 278 -958
691 337 -909
585 147 -648
782 686 53
791 769 318
308 56 567
44 270 -622
875 541 -270
752 510 -275
597 609 -632
713 824 942
708 175 239
842 909
509 411 356
505 100 610
180 397 752
198 115 -21
596 97 592
506 371 -481
278 602 824
505 777 51
746 633 -865
245 645 -585
430 115 925
597 500 -426
314 624 746
289 659 921
588 391 63
580 809 -497
453 381 81
480 371 917
273 415 -262
560 387 554
756 127 -51
766 472 874
836 566 -37
633 46 68
405 373 -114
170 513 -32
47 685 223
364 594 74
508 181 -204
811 38 983
338 592 -793
179 352 61
625 338 682
171 501 337
640 793 -329
65 554 692
67 447 206
212 733 -714
523 391 -560
271 581 81
144 405 -705
532 755 -667
84 217 -262
646 754 680
20 509 -838
438 439 -446
401 260 506
597 598 -996
591 105 554
228 739 908
823 556 497
135 774 786
715 643 -978
698 628 -300
220 478 429
97 80 -791
179 581 610
737 259 -705
493 791 -546
784 104 -158
588 396 652
288 79 -489
794 473 -555
619 534 -104
380 26 183
422 387 -670
696 701 373
774 568 -508
22 678 -899
766 763 -758
822 798 600
484 573 42
600 47 -706
544 30 -558
168 320 366
667 808 -655
738 193 678
783 304 -935
309 102 -98
551 458 24
434 130 -760
744 460 369
186 603 -963
725 394 551
527 712 654
291 121 253
126 276 685
787 549 444
91 343 -208
282 361 -726
794 275 -986
326 337 227
193 665 401
576 293 -581
281 77 -797
73 400 222
2 14 949
143 717 337
488 796 877
76 480 75
231 383 -538
92 494 959
609 626 -260
651 719 505
642 563 -83
754 381 125
201 694 -654
722 359 -533
98 598 -291
277 243 75
813 287 -656
246 739 -580
745 701 710
802 442 -108
588 139 71
6 12 928
455 466 973
24 783 628
89 606 756
641 767 -315
632 724 -24
704 768 -939
162 803 -20
265 421 -918
542 124 -958
700 226 116
406 26 543
827 466 -241
390 824 -869
4 776 938
36 151 724
493 2 654
504 709 -28
636 838 -985
416 816 -835
622 606 820
426 587 634
180 81 -601
203 334 680
201 778 -852
801 279 234
188 282 963
239 109 -790
545 699 -213
785 25 -668
603 189 -223
180 104 -328
604 129 -147
260 400 315
22 575 -37
377 231 -930
283 810 -607
146 15 -389
138 619 -322
91 793 -651
836 346 -708
630 27 348
726 462 -921
764 448 -624
467 341 -587
483 391 -703
369 450 307
614 782 721
777 538 253
258 135 754
39 633 -629
135 777 -148
5 453 -246
150 421 267
293 408 -99
670 662 -347
325 165 449
110 790 -464
89 209 -583
734 830 -524
111 252 501
399 118 -224
655 160 -860
524 3 9
21 664 -752
212 339 380
835 481 -818
28 264 -677
491 232 607
245 530 178
840 815 906
184 16 452
124 765 -288
276 165 606
567 443 -551
611 164 -553
435 584 306
40 483 -633
381 383 363
184 788 353
745 641 600
443 243 -919
363 751 998
396 469 514
277 594 -363
607 558 -882
577 258 913
770 705 905
390 67 614
522 315 633
124 646 874
432 530 -872
87 829 -217
103 146 465
301 699 -985
65 572 941
346 437 736
503 381 70
105 58 -481
320 223 -760
465 792 -921
166 170 -909
253 495 140
105 539 301
127 153 -822
166 515 -64
99 507 710
440 334 656
672 463 918
734 695 -749
32 722 839
109 430 124
608 351 780
320 513 -903
398 389 -914
534 270 614
272 449 -911
735 708 -464
468 352 884
567 289 -955
534 23 -71
673 729 674
326 121 -952
139 616 485
196 693 560
341 392 -571
421 275 477
383 806 961
11 510 -13
573 310 770
528 18 952
683 363 -196
604 242 -967
597 659 164
587 23 -605
633 119 303
211 468 -514
773 325 -311
191 557 -232
208 598 -144
176 684 -473
278 6 644
813 409 755
195 300 -734
123 200 53
49 44 428
28 631 914
571 149 150
708 604 -996
637 534 -374
395 457 678
328 378 724
350 828 57
779 111 -930
443 274 420
753 93 668
259 566 -842
670 255 665
164 107 829
173 694 -930
791 776 -794
686 128 -486
575 331 -753
358 425 -867
238 9 54
796 214 -397
734 324 410
468 825 -959
517 379 699
445 515 -825
412 246 -73
618 160 778
213 277 -249
57 50 -328
838 189 -44
717 47 -314
842 195 468
489 485 -958
492 108 -511
62 625 -825
101 708 78
41 361 691
749 411 386
445 364 717
122 735 645
795 788 -728
783 593 212
180 258 34
211 516 -313
758 663 902
838 273 241
149 761 -112
545 380 -115
368 445 -316
798 447 -16
299 87 898
539 771 -76
305 266 -832
489 183 -860
503 534 846
496 491 -381
21 145 -199
827 437 -45
413 785 34
240 192 415
131 183 -704
449 271 -687
336 535 46
316 291 768
234 838 810
318 16 -771
702 472 122
770 306 561
25 112 957
700 237 948
738 3 -697
580 40 -967
518 20 -9
76 2 -61
497 769 -815
508 384 -140
775 715 785
666 11 12
735 42 -399
645 76 -234
412 557 -680
223 645 -448
697 603 -299
88 24 -306
403 150 -367
345 139 505
72 360 -581
29 1 791
289 736 699
60 790 -847
515 386 -609
338 184 129
539 581 -626
157 25 -464
